,tweet,label,Unnamed: 0
0,"['pagi', 'sudah', 'di', 'buat', 'emosi']",Anger,
1,"['kok', 'stabilitas', 'negara', 'memange', 'tahun', 'negara', 'tidak', 'aman', 'bahkan', 'sby', 'menyuburkan', 'ormas', 'radikal', 'intoleran', 'teroris', 'yang', 'berafiliasi', 'ke', 'partai', 'tertentu', 'narasi', 'klhtn', 'intelektual', 'tapi', 'bodoh']",Anger,
2,"['sudah', 'lah', 'emosi', 'terus', 'liat', 'emyu']",Anger,
3,"['aib', 'bodoh', 'benar', 'sebelum', 'kata', 'aib', 'itu', 'muncul', 'terlebih', 'dahulu', 'sudah', 'ada', 'tindakan', 'yakni', 'kekejian', 'jangan', 'kamu', 'sembunyikan', 'caramu', 'menelaah', 'masalah', 'semisal', 'anak', 'perempuanmu', 'ditempeleng', 'apa', 'kamu', 'juga', 'setuju', 'untuk', 'dia', 'bersikap', 'bungkam', 'melapor', 'polisi', 'adl', 'benar', 'lantas', 'apa', 'bedanya']",Anger,
4,"['dih', 'kamu', 'yang', 'menyebalkan', 'bodoh']",Anger,
5,"['asli', 'malu', 'maluin', 'orang', 'indo', 'tolol', 'yang', 'rep', 'latah', 'cilukba', 'pakai', 'huruf', 'hijaiyah', 'sama', 'ngntd', 'sama', 'ganti', 'huruf', 't', 'pakai', 'salib', 'ada', 'tiktok', 'filipin', 'lewat', 'fyp', 'saya', 'dan', 'repnya', 'ngtd', 'semua', 'dasar', 'goblogg', 'trend', 'tiktok', 'ter', 'tolol']",Anger,
6,"['drama', 'abg', 'tolol']",Anger,
7,"['masih', 'emosi', 'sih', 'sama', 'katla', 'kemarin', 'mana', 'keterangannya', 'gini', 'saja', 'hasil', 'mengaci', 'kesal']",Anger,
8,"['bangsat', 'tribute', 'no', 'bencana', 'no', 'mau', 'ngalahin', 'ini', 'sepertinya']",Anger,
9,"['ingin', 'pergi', 'jauh', 'terus', 'teriak', 'sambil', 'nangis', 'sekencang', 'kencangnya', 'nanti', 'balik', 'kalau', 'saya', 'sudah', 'lupa', 'segalanya', 'wkwj', 'kan', 'tolol', 'mustahil', 'sekali']",Anger,
10,"['ya', 'allah', 'mau', 'marah', 'tapi', 'gimana', 'ya']",Anger,
11,"['silibus', 'kita', 'memang', 'kbat', 'gila', 'babi', 'bodoh', 'yang', 'buat', 'silibus', 'ini', 'learn', 'should', 'be', 'fun']",Anger,
